C1:1
C10:1
C101:1
C11:1
C110:1
C16:1
C17:1
C18:1
C2:1
C20:1
C21:1
C22:1
C3:1
C32:1
C34:1
C5:1
C541:1
C6:1
C7:1
CN1:1
E666:1
FB101:1
J101:1
R201:1
R202:1
REF**:2
RP201:1
RP201.5:1
RP202:1
RP203:1
RP903:1
RP910:1
RP910.10:1
RP910.9:1
RP916:1
U1:1
U101:1
U16:1
U20:1
U32:1
U34:1
U35:1
U5:1
X1:1
